ID,Paper,Year,Venue,Peer Reviewed?,Research Problem,System / Method,Modalities,Remote?,Capability Awareness?,Cross-Modal?,Bidirectional?,Presentation Tracking?,Flow Control / Pacing?,Recovery?,Human Evaluation?,Major Findings,Limitations,Relevance to AMP,DOI / Official URL,Evidence Level
P11,Accessibility-Driven Information Transformations in Mixed-Visual Ability Work Teams,2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,Yes (journal/conference publication),Information access in mixed-visual-ability teams,Study of accessibility-driven information transformations,Multiple information representations,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; study reported,Examines transformation work within collaborative teams.,Assessment based on abstract only; no protocol performance inferred.,Cross-modal conversion can entail human work and access tradeoffs.,https://doi.org/10.1145/3772318.3790872,Abstract only
P12,Designing for Collective Access: In Search of a Solution to Accessible Communication in a Mixed-Ability Non-Profit,2026,Proceedings of the 2026 Designing Interactive Systems Conference,Yes (journal/conference publication),Conflicting access needs in mixed-ability communication,Interviews and field observations in a nonprofit,Organizational communication technologies,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; qualitative study,"Shows that conflicting access needs involve social roles, norms and accountability.",Assessment based on abstract only; not a protocol comparison. Author manuscript and published DOI identify the same work.,Fallback selection cannot assume one universally preferred modality.,https://doi.org/10.1145/3800645.3813075,Abstract only
P13,Integrating IoT platforms using the INTER-IoT approach: A case study of the CasAware project,2020,Journal of Ambient Intelligence and Smart Environments,Yes (journal/conference publication),Interoperability across IoT platforms,INTER-IoT applied to CasAware,IoT events / semantic data,Distributed platforms,Platform/service integration,Semantic data mediation,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Combines platform bridges with semantic mediation in an assisted-living case.,Assisted-living integration is not person-to-person accessible presentation.,IoT syntactic and semantic interoperability are prior art.,https://doi.org/10.3233/AIS-200578,Full text
P14,"Towards a new semantic middleware for service description, discovery, selection, and composition in the Internet of Things",2022,Transactions on Emerging Telecommunications Technologies,Yes (journal/conference publication),IoT service discovery and composition,"Semantic middleware for description, discovery, selection and composition",IoT services,Not reported / not verified,Yes; service discovery,Semantic service composition,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Describes context-aware semantic service orchestration.,Assessment based on abstract only; accessible output lifecycle not verified.,Semantic discovery and composition are not AMP novelty.,https://doi.org/10.1002/ett.4544,Abstract only
P15,A comparative study of systems for the design of flexible user interfaces,2016,Journal of Ambient Intelligence and Smart Environments,Yes (journal/conference publication),Flexible and personalized user interfaces,Comparative analysis including URC and GPII,Pluggable interfaces / personal preferences,Not reported / not verified,Yes; framework descriptions,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Describes reusable interface and preference infrastructure.,Comparison of frameworks; not AMP-style conversational recovery experiments.,Device-independent interfaces and preference infrastructure are established.,https://doi.org/10.3233/AIS-160370,Full text
P16,A Multilayer Architecture towards the Development and Distribution of Multimodal Interface Applications on the Edge,2024,Sensors,Yes (journal/conference publication),Distribution of multimodal applications at the edge,Multilayer hardware/software platform,Conversational multimodal interfaces,Remote management; peer conversation unclear,Not reported / not verified,Multimodal application support,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,"Describes edge deployment and remote management, including assisted-living demonstration.",Assessment based on abstract only; human evaluation and reliability guarantees not verified.,Assistive edge multimodal architecture is prior art.,https://doi.org/10.3390/s24165199,Abstract only
P17,CLAID: Closing the Loop on AI & Data Collection — A cross-platform transparent computing middleware framework for smart edge-cloud and digital biomarker applications,2024,Future Generation Computer Systems,Yes (journal/conference publication),Heterogeneous edge–cloud application development,CLAID cross-platform middleware,Sensor / AI data,Yes; distributed computation,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Supports integration across platforms and distributed computation.,"Assessment based on abstract only; digital biomarker focus, not accessible conversation.",Edge distribution and platform bridging are implementation foundations.,https://doi.org/10.1016/j.future.2024.05.026,Abstract only
P19,A Cloud Robotics Platform to Enable Remote Communication for Deafblind People,2018,Lecture Notes in Computer Science; Computers Helping People with Special Needs,Yes (journal/conference publication),Remote Deafblind communication,Cloud robotics with tracking and robotic output,Tracked movement / tactile robotic output,Yes,Not verified,Yes,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Extends a cloud-robotics direction for remote communication.,"Assessment based on abstract only; related to PARLOMA, not independent replication.",Cloud-based remote tactile communication precedes AMP.,https://doi.org/10.1007/978-3-319-94277-3_33,Abstract only
P20,Teleintervention for users of augmentative and alternative communication devices: A systematic review,2023,Developmental Medicine & Child Neurology,Yes (journal/conference publication),Remote intervention for AAC users,Systematic review of teleintervention,AAC / videocommunication,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Secondary synthesis,Reviews delivery of AAC intervention at a distance.,Assessment based on abstract only; intervention delivery differs from peer messaging interoperability.,Remote AAC literature is relevant but not automatically equivalent to an assistive protocol.,https://doi.org/10.1111/dmcn.15387,Abstract only
P21,Promote Assistive and AAC technologies during Covid-19,2021,Form@re - Open Journal per la formazione in rete,Yes (journal/conference publication),Remote educational participation with AAC,Assistive/AAC educational case discussion,Eye-gaze / AAC / remote classroom,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Discusses access through assistive technologies during pandemic restrictions.,Assessment based on abstract only; no new transport or recovery contract.,Gaze-based remote participation is not an unexplored application.,https://doi.org/10.36253/form-10189,Abstract only
P22,Communicating with Humans and Robots: A Motion Tracking Data Glove for Enhanced Support of Deafblind,2022,Proceedings of the Annual Hawaii International Conference on System Sciences; Proceedings of the 55th Hawaii International Conference on System Sciences,Yes (journal/conference publication),Communication and robot interaction for Deafblind users,Motion-tracking data glove using an extended Malossi approach,Glove / tactile communication / robot interaction,Remote messaging described,Not reported / not verified,Yes; glove communication representation,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Describes a glove supporting communication and interaction.,Assessment based on abstract only; no detailed evaluation result inferred. Author names match Crossref and the official AIS proceedings listing.,Glove-mediated remote assistive communication is relevant prior art.,https://doi.org/10.24251/HICSS.2022.259,Abstract only
P23,Lightweight Asynchronous Snapshots for Distributed Dataflows,2015,arXiv:1506.08603 — PREPRINT,No peer-reviewed version verified,Fault tolerance for stateful dataflows,Asynchronous Barrier Snapshotting on Apache Flink,Data streams,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; computational state,Not reported / not applicable,Checkpoint recovery of computation is established; physical presentation is a different boundary.,Digital operator recovery is not evidence of exactly-once human perception.,Checkpoint recovery of computation is established; physical presentation is a different boundary.,https://arxiv.org/abs/1506.08603,Full text
P24,Better never than late: meeting deadlines in datacenter networks,2011,Proceedings of the ACM SIGCOMM 2011 conference,Yes (journal/conference publication),Meeting flow deadlines in datacenters,D3 deadline-aware network design,Network flows,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Investigates deadline-aware resource allocation.,Assessment based on abstract only; datacenter conditions differ from assistive output queues.,Deadline awareness alone is established; AMP needs an application-specific advantage.,https://doi.org/10.1145/2018436.2018443,Abstract only
P25,IoT Middleware: A Survey on Issues and Enabling technologies,2017,IEEE Internet of Things Journal,Yes (journal/conference publication),IoT middleware capabilities and challenges,Survey of middleware and enabling technologies,Heterogeneous IoT data,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Organizes middleware concerns including integration and adaptation.,Assessment based on abstract only. Crossref early-access metadata has a conflicting author name and provisional pages.,IoT middleware is a mature comparison domain for AMP.,https://doi.org/10.1109/JIOT.2016.2615180,Abstract only
P26,What are Multimodalities Made of? Modeling Output in a Multimodal Dialogue System,2002,AAAI Technical Report WS-02-08,Workshop publication; review procedure not verified,Adaptive coordination of multimodal output,EMBASSI output modeling and planning,Multimodal output,Not reported / not verified,Yes; output capabilities/context,Yes; output planning,Not reported / not verified,Yes; completed presentation,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Multimodal output systems already used acknowledgments after completed presentation.,Not evidence of durable cross-device partial-presentation recovery in assistive conversation.,Multimodal output systems already used acknowledgments after completed presentation.,https://cdn.aaai.org/Workshops/2002/WS-02-08/WS02-08-006.pdf,Full text
P27,Mediated and non-mediated tactile fingerspelling: a comparative study,2024,Assistive Technology,Yes (journal/conference publication),Intelligibility of device-mediated tactile fingerspelling,HaptiComm versus human-articulated tactile fingerspelling,Australian Deafblind tactile fingerspelling,Not established,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; participant study reported,"Device-mediated letters were harder to decipher than human-articulated letters, with differences by tactile site.",Assessment based on abstract only; participant access characteristics and detailed methods not verified.,Renderer actuation and intelligibility must be evaluated separately.,https://doi.org/10.1080/10400435.2024.2369547,Abstract only
S01,Multimodal Architecture and Interfaces,2012,"W3C Recommendation, 25 October 2012",Not a peer-reviewed research paper,Interoperation of modality components,Interaction manager and modality-component lifecycle,Application-dependent,Yes; distributed components,Architecture extensibility; profile negotiation unspecified,Framework support,Bidirectional component events,Yes; component lifecycle,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Distributed modality components and start/done/pause/resume lifecycle are established.,Specification defines functionality; not evidence of AMP effectiveness.,Distributed modality components and start/done/pause/resume lifecycle are established.,https://www.w3.org/TR/2012/REC-mmi-arch-20121025/,Full text
S02,Multimodal Interaction Framework,2003,"W3C Note, 6 May 2003",Not a peer-reviewed research paper,General multimodal interaction organization,"Recognition, interpretation, generation, presentation and session functions",Application-dependent,Not reported / not verified,Yes; device/context characteristics,Yes; framework,Not reported / not verified,Presentation component,Not reported / not verified,Not reported / not verified,Not reported / not applicable,"Modality separation, user/context adaptation and session concepts predate AMP.",Specification defines functionality; not evidence of AMP effectiveness.,"Modality separation, user/context adaptation and session concepts predate AMP.",https://www.w3.org/TR/mmi-framework/,Full text
S03,EMMA: Extensible MultiModal Annotation markup language,2009,"W3C Recommendation, 10 February 2009",Not a peer-reviewed research paper,Exchange of multimodal interpretation annotations,XML annotations including confidence and timing,Application-dependent,Not reported / not verified,Not reported / not verified,Interpretation representation,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Intermediate interpretation exchange is established; EMMA is not a universal meaning-preserving translator.,Specification defines functionality; not evidence of AMP effectiveness.,Intermediate interpretation exchange is established; EMMA is not a universal meaning-preserving translator.,https://www.w3.org/TR/emma/,Full text
S04,Web of Things (WoT) Thing Description 1.1,2023,"W3C Recommendation, 5 December 2023",Not a peer-reviewed research paper,Machine-readable descriptions of Things,"Properties, actions, events, data schemas and security descriptions",Application-dependent,Not reported / not verified,Yes; device/service descriptions,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Device/service description has an existing standard foundation.,Specification defines functionality; not evidence of AMP effectiveness.,Device/service description has an existing standard foundation.,https://www.w3.org/TR/wot-thing-description11/,Full text
S05,Web of Things (WoT) Discovery,2023,"W3C Recommendation, 5 December 2023",Not a peer-reviewed research paper,Discovering Things and their descriptions,Introduction and exploration mechanisms,Application-dependent,Not reported / not verified,Yes,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,"Discovery infrastructure should be reused or compared, not renamed as AMP novelty.",Specification defines functionality; not evidence of AMP effectiveness.,"Discovery infrastructure should be reused or compared, not renamed as AMP novelty.",https://www.w3.org/TR/wot-discovery/,Full text
S06,MQTT Version 5.0,2019,"OASIS Standard, 7 March 2019",Not a peer-reviewed research paper,Publish-subscribe transport,"QoS, sessions, expiry and receive limits",Application-dependent,Yes,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Receive Maximum limits in-flight QoS packets,Session state / retransmission,Not reported / not applicable,"MQTT acknowledgment concerns protocol delivery, not proof of accessible presentation.",Specification defines functionality; not evidence of AMP effectiveness.,"MQTT acknowledgment concerns protocol delivery, not proof of accessible presentation.",https://docs.oasis-open.org/mqtt/mqtt/v5.0/os/mqtt-v5.0-os.html,Full text
S07,Advanced Message Queuing Protocol (AMQP) Version 1.0,2012,"OASIS Standard, 29 October 2012",Not a peer-reviewed research paper,Reliable asynchronous messaging,"Link credit, settlement, delivery states and link recovery",Application-dependent,Yes,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; receiver link credit,Yes; transfer/link state,Not reported / not applicable,Receiver credit and partial-transfer resume are prior art; transfer offsets do not establish tactile progress.,Specification defines functionality; not evidence of AMP effectiveness.,Receiver credit and partial-transfer resume are prior art; transfer offsets do not establish tactile progress.,https://docs.oasis-open.org/amqp/core/v1.0/os/amqp-core-complete-v1.0-os.pdf,Full text
S08,"Reactive Streams for the JVM, version 1.0.4",2022,"Project specification, released 26 May 2022",Not a peer-reviewed research paper,Preventing fast producers overwhelming slow consumers,Asynchronous demand through Subscription.request(n),Application-dependent,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; demand-based backpressure,Not reported / not verified,Not reported / not applicable,Receiver-demand backpressure is established; specification does not define assistive meaning.,Specification defines functionality; not evidence of AMP effectiveness.,Receiver-demand backpressure is established; specification does not define assistive meaning.,https://github.com/reactive-streams/reactive-streams-jvm/blob/v1.0.4/README.md,Full text
S09,"XEP-0333: Displayed Markers, version 1.0.0",2024,"XMPP Standards Foundation, 17 April 2024",Not a peer-reviewed research paper,Reporting displayed message position,Cumulative displayed markers,Application-dependent,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,"Yes; displayed marker, not verified comprehension",Not reported / not verified,Not reported / not verified,Not reported / not applicable,Displayed state differs from receipt; the specification also requires accessible marker representations and privacy controls.,Specification defines functionality; not evidence of AMP effectiveness.,Displayed state differs from receipt; the specification also requires accessible marker representations and privacy controls.,https://xmpp.org/extensions/attic/xep-0333-1.0.0.html,Full text
S10,"XEP-0198: Stream Management, version 1.6.3",2025,"XMPP Standards Foundation, 28 July 2025",Not a peer-reviewed research paper,Stanza acknowledgments and stream continuity,Handled-stanza counters and stream resumption,Application-dependent,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; stream resumption,Not reported / not applicable,Session resumption and transport/application boundary management precede AMP.,Specification defines functionality; not evidence of AMP effectiveness.,Session resumption and transport/application boundary management precede AMP.,https://xmpp.org/extensions/xep-0198.html,Full text
S11,Bundle Protocol Version 7 (RFC 9171),2022,"IETF Standards Track, January 2022",Not a peer-reviewed research paper,Communication under disruption,"Bundles, lifetime, fragmentation and status reports",Application-dependent,Yes,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; disruption-tolerant forwarding,Not reported / not applicable,"Intermittency, expiry and durable forwarding are established; presentation needs an additional contract.",Specification defines functionality; not evidence of AMP effectiveness.,"Intermittency, expiry and durable forwarding are established; presentation needs an additional contract.",https://www.rfc-editor.org/rfc/rfc9171.html,Full text
S12,Framework for Real-Time Text over IP Using the Session Initiation Protocol (SIP) (RFC 5194),2008,"IETF Informational, June 2008",Not a peer-reviewed research paper,Accessible real-time text communication,SIP-based text/multimedia and relay framework,Application-dependent,Yes,Not reported / not verified,Relay support,Yes,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Accessible remote multimedia and relay architectures are prior art.,Specification defines functionality; not evidence of AMP effectiveness.,Accessible remote multimedia and relay architectures are prior art.,https://www.rfc-editor.org/rfc/rfc5194.html,Full text
S13,T.140 Real-Time Text Conversation over WebRTC Data Channels (RFC 8865),2021,"IETF Standards Track, January 2021",Not a peer-reviewed research paper,Real-time conversational text over WebRTC,T.140 data channels and SDP negotiation,Application-dependent,Yes,Yes; channel/rate parameters,Not reported / not verified,Yes,Not reported / not verified,Yes; receiver maximum character rate,Not reported / not verified,Not reported / not applicable,Receiver maximum character rate can be negotiated and updated; overflow handling is explicit.,Specification defines functionality; not evidence of AMP effectiveness.,Receiver maximum character rate can be negotiated and updated; overflow handling is explicit.,https://www.rfc-editor.org/rfc/rfc8865.html,Full text
S14,Negotiating Human Language in Real-Time Communications (RFC 8373),2018,"IETF Standards Track, May 2018",Not a peer-reviewed research paper,Language needs and preferences in sessions,SDP language negotiation per medium and direction,Application-dependent,Not reported / not verified,Yes; language/media preferences,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Language preferences and directional negotiation are established; language-based routing and UI are outside this RFC.,Specification defines functionality; not evidence of AMP effectiveness.,Language preferences and directional negotiation are established; language-based routing and UI are outside this RFC.,https://www.rfc-editor.org/rfc/rfc8373.html,Full text
S15,Transmission Control Protocol (TCP) (RFC 9293),2022,"IETF STD 7, August 2022",Not a peer-reviewed research paper,Reliable ordered byte streams,"Acknowledgment, retransmission and receiver window",Application-dependent,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Yes; byte window,Not reported / not verified,Not reported / not applicable,Receiver window flow control is established and operates below accessible presentation.,Specification defines functionality; not evidence of AMP effectiveness.,Receiver window flow control is established and operates below accessible presentation.,https://www.rfc-editor.org/rfc/rfc9293.html,Full text
S16,Web Content Accessibility Guidelines (WCAG) 2.2,2024,"W3C Recommendation, 12 December 2024 revision",Not a peer-reviewed research paper,Web content accessibility,Success criteria including timing and interaction controls,Application-dependent,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Timing and control requirements inform interfaces; WCAG is not a complete assistive hardware or protocol standard.,Specification defines functionality; not evidence of AMP effectiveness.,Timing and control requirements inform interfaces; WCAG is not a complete assistive hardware or protocol standard.,https://www.w3.org/TR/2024/REC-WCAG22-20241212/,Full text
S17,ISO/IEC 24752-1:2014 — Universal remote console — Part 1: General framework,2014,International Standard; withdrawn November 2021,Not a peer-reviewed research paper,Accessible and replaceable remote user interfaces,Universal remote console framework,Application-dependent,Not reported / not verified,Framework support,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,"Pluggable, device-independent remote interfaces are older prior art.","Assessment based on abstract only. Withdrawn edition is historical prior art, not a recommendation to implement a current standard.","Pluggable, device-independent remote interfaces are older prior art.",https://www.iso.org/standard/60821.html,Abstract only
S18,"ISO/IEC 24751-2:2008 — Individualized adaptability and accessibility in e-learning, education and training — Part 2: Access for all personal needs and preferences for digital delivery",2008,International Standard,Not a peer-reviewed research paper,Personal accessibility needs and preferences,Functional preference representation for digital delivery,Application-dependent,Not reported / not verified,Personal needs/preferences,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Preference-based access matching is established independently of diagnosis labels.,"Assessment based on abstract only; education/digital-delivery scope, not an AMP session implementation.",Preference-based access matching is established independently of diagnosis labels.,https://www.iso.org/standard/43603.html,Abstract only
S19,"XEP-0184: Message Delivery Receipts, version 1.4.0",2018,"XMPP Standards Foundation, 2 August 2018",Not a peer-reviewed research paper,Client-level message receipt notification,Per-message delivery receipts,Application-dependent,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Receipt at a recipient client does not imply reading or understanding.,Specification defines functionality; not evidence of AMP effectiveness.,Receipt at a recipient client does not imply reading or understanding.,https://xmpp.org/extensions/xep-0184.html,Full text
S20,"XEP-0085: Chat State Notifications, version 2.1",2009,"XMPP Standards Foundation, 23 September 2009",Not a peer-reviewed research paper,Communicating conversational activity,"Active, composing, paused, inactive and gone states",Application-dependent,Not reported / not verified,Not reported / not verified,Not reported / not verified,Chat signaling,Not reported / not verified,Not reported / not verified,Not reported / not verified,Not reported / not applicable,Conversational state signaling is established.,Specification defines functionality; not evidence of AMP effectiveness.,Conversational state signaling is established.,https://xmpp.org/extensions/xep-0085.html,Full text
