Search ID,Database/Source,Search Query,Date Searched,Results Inspected,Relevant Studies Retained
N3,Web search (discovery),"""AAC"" ""remote communication"" study technology",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
N4,Web search (discovery),"""augmentative"" ""conversation"" ""ACM"" ""2023""",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
J3,Web search (discovery),"""MQTT"" ""deadline-aware""",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
B3,Web search (discovery),"""Vibration-based communication for deafblind people""",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
V1,Official venue scope via web discovery,site.ieee-iotj.org scope protocols middleware,2026-09-15,Not recorded / unavailable,Venue scope; separate from core corpus
V2,Official venue scope via web discovery,site.sciencedirect.com/journal/internet-of-things/about/aims-and-scope,2026-09-15,Not recorded / unavailable,Venue scope; separate from core corpus
V3,Official venue scope via web discovery,site.sciencedirect.com/journal/journal-of-network-and-computer-applications/about/aims-and-scope,2026-09-15,Not recorded / unavailable,Venue scope; separate from core corpus
V4,Official venue scope via web discovery,site.mdpi.com/journal/iot/about aims scope,2026-09-15,Not recorded / unavailable,Venue scope; separate from core corpus
V5,Official venue scope via web discovery,"site.sciencedirect.com/journal/internet-of-things ""Aims and scope""",2026-09-15,Not recorded / unavailable,Venue scope; separate from core corpus
V6,Official venue scope via web discovery,"site.sciencedirect.com/journal/journal-of-network-and-computer-applications ""welcomes""",2026-09-15,Not recorded / unavailable,Venue scope; separate from core corpus
V7,Official venue scope via web discovery,"site.embs.org/tnsre ""scope""",2026-09-15,Not recorded / unavailable,Venue scope; separate from core corpus
V8,Official venue scope via web discovery,"site.acm.org ""Transactions on Accessible Computing"" ""topics""",2026-09-15,Not recorded / unavailable,Venue scope; separate from core corpus
K2,Web search (discovery),"""Asynchronous Lightweight Snapshots"" distributed dataflows",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
J4,Web search (discovery),"""Better Never than Late"" ""2011""",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
V9,Web search (discovery),"""TACCESS"" ""scope"" site:acm.org",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
P2,Web search (discovery),"""A Multilayer Architecture"" ""Multimodal"" ""2024""",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
M2,Web search (discovery),"site.iso.org ""24752-1:2014""",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
M3,Web search (discovery),"site.iso.org ""24751-2:2008""",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
C2,Web search (discovery),"""Multimodal"" ""presentation"" ""acknowledgement""",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
K3,Web search (discovery),"""Braille"" ""resume"" ""communication"" protocol",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
C3,Web search (discovery),"""What are Multimodalities Made of""",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
V10,Web search (discovery),"""Internet of Things"" ""Engineering Cyber Physical Human Systems"" site:elsevier.com",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
V11,Web search (discovery),"""Journal of Network and Computer Applications"" ""scope"" site:elsevier.com",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
V12,Web search (discovery),"""Transactions on Accessible Computing"" ""scope"" site:sigaccess.org",2026-09-15,Not recorded / unavailable,Not recorded per query; see screened corpus and source locators
V13,Official venue pages / web open,https://shop.elsevier.com/journals/journal-of-network-and-computer-applications/1084-8045 ; https://taccess.acm.org/,2026-09-15,2 URLs attempted,JNCA scope verified; TACCESS unavailable
S08-check,Official specification / web open,https://www.reactive-streams.org/ ; https://github.com/reactive-streams/reactive-streams-jvm/blob/v1.0.4/README.md,2026-09-15,2 URLs inspected,S08
CR01,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.5772%2F60416,2026-09-15,1 metadata record; resolver attempted,P01
CR02,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1016%2Fj.ifacol.2016.11.145,2026-09-15,1 metadata record; resolver attempted,P02
CR03,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.7160%2Feriesj.2024.170206,2026-09-15,1 metadata record; resolver attempted,P03
CR04,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1145%2F2998181.2998215,2026-09-15,1 metadata record; resolver attempted,P04
CR05,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.3233%2FTAD-190254,2026-09-15,1 metadata record; resolver attempted,P07
CR06,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.3389%2Ffcomm.2023.1180257,2026-09-15,1 metadata record; resolver attempted,P08
CR07,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1145%2F3613904.3641930,2026-09-15,1 metadata record; resolver attempted,P09
CR08,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1145%2F3772318.3790419,2026-09-15,1 metadata record; resolver attempted,P10
CR09,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1145%2F3772318.3790872,2026-09-15,1 metadata record; resolver attempted,P11
CR10,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1145%2F3800645.3813075,2026-09-15,1 metadata record; resolver attempted,P12
CR11,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.3233%2FAIS-200578,2026-09-15,1 metadata record; resolver attempted,P13
CR12,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1002%2Fett.4544,2026-09-15,1 metadata record; resolver attempted,P14
CR13,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.3233%2FAIS-160370,2026-09-15,1 metadata record; resolver attempted,P15
CR14,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1111%2Fdmcn.15387,2026-09-15,1 metadata record; resolver attempted,P20
CR15,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1109%2FJIOT.2016.2615180,2026-09-15,1 metadata record; resolver attempted,P25
CR16,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1007%2F978-3-319-94277-3_33,2026-09-15,1 metadata record; resolver attempted,P19
CR17,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.36253%2Fform-10189,2026-09-15,1 metadata record; resolver attempted,P21
CR18,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1109%2FHAPTICS52432.2022.9765570,2026-09-15,1 metadata record; resolver attempted,P05
CR19,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.3390%2Fs24165199,2026-09-15,1 metadata record; resolver attempted,P16
CR20,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1016%2Fj.future.2024.05.026,2026-09-15,1 metadata record; resolver attempted,P17
CR21,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.24251%2FHICSS.2022.259,2026-09-15,1 metadata record; resolver attempted,P22
CR22,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1016%2Fj.intcom.2012.06.003,2026-09-15,1 metadata record; resolver attempted,P06
CR23,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1109%2FCPSNA.2015.21,2026-09-15,1 metadata record; resolver attempted,Excluded P18: metadata-only scheduling lead
CR24,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1145%2F2018436.2018443,2026-09-15,1 metadata record; resolver attempted,P24
CR25,Crossref direct API and DOI resolver,https://api.crossref.org/works/10.1080%2F10400435.2024.2369547,2026-09-15,1 metadata record; resolver attempted,P27
CRQ18,Crossref direct API title query; rows=2,Vibration-based communication for deafblind people,2026-09-15,Returned candidates inspected; see preserved JSON,Identity candidates only; matched DOI records screened separately
CRQ19,Crossref direct API title query; rows=2,A Multilayer Architecture towards the Development and Distribution of Multimodal Interface Applications on the Edge,2026-09-15,Returned candidates inspected; see preserved JSON,Identity candidates only; matched DOI records screened separately
CRQ20,Crossref direct API title query; rows=2,CLAID Closing the Loop on AI Data Collection,2026-09-15,Returned candidates inspected; see preserved JSON,Identity candidates only; matched DOI records screened separately
CRQ21,Crossref direct API title query; rows=2,Communicating with humans and robots A motion tracking data glove for enhanced support of deafblind,2026-09-15,Returned candidates inspected; see preserved JSON,Identity candidates only; matched DOI records screened separately
CRQ22,Crossref direct API title query; rows=2,SymbolChat A flexible picture-based communication platform for users with intellectual disabilities,2026-09-15,Returned candidates inspected; see preserved JSON,Identity candidates only; matched DOI records screened separately
CRQ23,Crossref direct API title query; rows=2,Adaptive Periodic Communication over MQTT for Large-Scale Cyber-Physical Systems,2026-09-15,Returned candidates inspected; see preserved JSON,Identity candidates only; matched DOI records screened separately
CRQ24,Crossref direct API title query; rows=2,Designing Remote Communication Tools for AAC Users,2026-09-15,Returned candidates inspected; see preserved JSON,Identity candidates only; matched DOI records screened separately
CRQ25,Crossref direct API title query; rows=2,Asynchronous Distributed Snapshots for Distributed Dataflows,2026-09-15,Returned candidates inspected; see preserved JSON,Identity candidates only; matched DOI records screened separately
CRQ26,Crossref direct API title query; rows=2,Better Never than Late Meeting Deadlines in Datacenter Networks,2026-09-15,Returned candidates inspected; see preserved JSON,Identity candidates only; matched DOI records screened separately
CRQ27,Crossref direct API title query; rows=2,Socially accessible remote work mixed ability virtual team Mack,2026-09-15,Returned candidates inspected; see preserved JSON,Identity candidates only; matched DOI records screened separately
FINAL1,Web discovery followed by authoritative source check,"""Communicating with Humans and Robots"" ""Doubrowski""",2026-09-15,Not recorded / unavailable,P22 author check; S10 version check; P27 screening
FINAL2,Web discovery followed by authoritative source check,"""XEP-0198"" ""Version"" ""2025""",2026-09-15,Not recorded / unavailable,P22 author check; S10 version check; P27 screening
FINAL3,Web discovery followed by authoritative source check,"""Mediated and non-mediated tactile fingerspelling"" abstract",2026-09-15,Not recorded / unavailable,P22 author check; S10 version check; P27 screening
FINAL4,Web discovery followed by authoritative source check,"""Mediated and non-mediated tactile fingerspelling"" authors",2026-09-15,Not recorded / unavailable,P22 author check; S10 version check; P27 screening
